City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Socorro,US,2021-11-08 03:25:57,31.6546,-106.3033,71.89,26,76,4.25,broken clouds
61,Stepnoye,RU,2021-11-08 03:25:58,51.4,46.8667,41.76,92,99,7.49,overcast clouds
62,Khatanga,RU,2021-11-08 03:25:58,71.9667,102.5,7.84,95,99,11.45,overcast clouds
63,Hermanus,ZA,2021-11-08 03:25:59,-34.4187,19.2345,56.89,73,56,3.78,broken clouds
64,Avarua,CK,2021-11-08 03:25:59,-21.2078,-159.775,77.05,65,20,13.8,few clouds
65,Jamestown,US,2021-11-08 03:25:44,42.097,-79.2353,48.72,87,1,1.01,clear sky
66,San Andres,CO,2021-11-08 03:26:00,12.5847,-81.7006,82.42,78,75,6.91,broken clouds
67,Levokumskoye,RU,2021-11-08 03:26:00,44.8219,44.6606,46.83,89,61,1.54,broken clouds
68,Shalya,RU,2021-11-08 03:26:01,57.2471,58.7298,31.96,85,100,10.69,overcast clouds
69,Pokhara,NP,2021-11-08 03:26:01,28.2333,83.9833,65.52,62,10,2.21,clear sky
70,Georgetown,MY,2021-11-08 03:26:02,5.4112,100.3354,85.93,79,20,2.3,few clouds
71,Lebu,CL,2021-11-08 03:26:02,-37.6167,-73.65,52.59,94,74,9.6,broken clouds
72,Batticaloa,LK,2021-11-08 03:26:03,7.7102,81.6924,78.76,81,89,7.25,moderate rain
73,Okhotsk,RU,2021-11-08 03:26:03,59.3833,143.3,9.73,71,42,23.17,scattered clouds
74,Union,US,2021-11-08 03:26:03,40.6334,-74.2663,51.89,68,1,5.75,clear sky
75,Upernavik,GL,2021-11-08 03:26:04,72.7868,-56.1549,9.86,76,5,6.17,clear sky
76,Ishigaki,JP,2021-11-08 03:26:04,24.3448,124.1572,71.73,88,75,19.57,broken clouds
77,Ancud,CL,2021-11-08 03:26:04,-41.8697,-73.8203,54.43,95,94,2.28,overcast clouds
78,Bireun,ID,2021-11-08 03:26:05,5.203,96.7009,83.82,73,96,3.69,overcast clouds
79,Jiazi,CN,2021-11-08 03:26:05,22.8779,116.067,67.89,57,25,15.37,scattered clouds
80,Ercis,TR,2021-11-08 03:26:06,39.0287,43.3586,31.6,38,5,3.94,clear sky
81,Tilichiki,RU,2021-11-08 03:26:06,60.4667,166.1,23.34,97,100,8.43,snow
82,Hay River,CA,2021-11-08 03:21:54,60.8156,-115.7999,26.58,93,90,10.36,light snow
83,Skibbereen,IE,2021-11-08 03:26:07,51.55,-9.2667,53.4,97,100,10.76,overcast clouds
84,Waddan,LY,2021-11-08 03:26:08,29.1614,16.139,68.31,33,100,8.81,overcast clouds
85,Provideniya,RU,2021-11-08 03:26:08,64.3833,-173.3,17.71,79,75,6.71,broken clouds
86,Barra Do Corda,BR,2021-11-08 03:26:08,-5.5,-45.25,72.82,93,59,1.88,broken clouds
87,Malavalli,IN,2021-11-08 03:26:09,12.3833,77.0833,75.06,87,100,3.65,moderate rain
88,Tomatlan,MX,2021-11-08 03:26:10,19.9333,-105.25,73.26,91,14,2.8,few clouds
89,Karratha,AU,2021-11-08 03:21:34,-20.7377,116.8463,81.55,39,3,16.91,clear sky
90,Anuchino,RU,2021-11-08 03:26:10,43.9622,133.0544,48.67,70,100,5.97,overcast clouds
91,Narsaq,GL,2021-11-08 03:26:11,60.9167,-46.05,30.42,81,100,1.95,overcast clouds
92,Coquimbo,CL,2021-11-08 03:26:11,-29.9533,-71.3436,55.13,94,0,3.44,clear sky
93,Talnakh,RU,2021-11-08 03:26:12,69.4865,88.3972,17.19,96,100,7.09,light snow
94,Ribeira Grande,PT,2021-11-08 03:26:12,38.5167,-28.7,69.4,85,43,24.18,scattered clouds
95,Pacifica,US,2021-11-08 03:23:29,37.6138,-122.4869,55.78,76,20,3.0,few clouds
96,Saskylakh,RU,2021-11-08 03:25:53,71.9167,114.0833,13.55,93,100,9.26,overcast clouds
97,Niono,ML,2021-11-08 03:26:13,14.2526,-5.993,83.75,20,4,6.04,clear sky
98,Rio Verde De Mato Grosso,BR,2021-11-08 03:26:13,-18.9181,-54.8442,74.66,85,48,3.31,scattered clouds
99,Dunmore Town,BS,2021-11-08 03:26:13,25.5,-76.65,75.42,69,100,13.98,overcast clouds
100,Sfantu Gheorghe,RO,2021-11-08 03:26:14,45.8667,25.7833,46.22,90,66,0.6,broken clouds
101,Kampot,KH,2021-11-08 03:26:14,10.6167,104.1833,77.05,72,17,5.5,few clouds
102,Ljungby,SE,2021-11-08 03:26:15,56.8332,13.9408,39.79,85,100,8.68,overcast clouds
103,Terekli-Mekteb,RU,2021-11-08 03:26:16,44.1671,45.8698,48.52,90,49,2.44,scattered clouds
104,Cape Town,ZA,2021-11-08 03:22:32,-33.9258,18.4232,59.88,73,20,4.0,few clouds
105,Cockburn Town,TC,2021-11-08 03:22:33,21.4612,-71.1419,81.86,74,99,7.02,overcast clouds
106,Champerico,GT,2021-11-08 03:26:16,14.3,-91.9167,80.35,80,69,1.34,broken clouds
107,Chingirlau,KZ,2021-11-08 03:26:17,51.095,54.0814,37.54,74,100,7.58,overcast clouds
108,Mahebourg,MU,2021-11-08 03:21:38,-20.4081,57.7,78.26,78,75,10.36,broken clouds
109,Atasu,KZ,2021-11-08 03:26:17,48.6814,71.6433,29.68,25,0,4.54,clear sky
110,Tuktoyaktuk,CA,2021-11-08 03:26:18,69.4541,-133.0374,21.2,86,90,9.22,light snow
111,Sao Paulo De Olivenca,BR,2021-11-08 03:26:18,-3.3783,-68.8725,71.74,98,99,1.5,overcast clouds
112,Fort Nelson,CA,2021-11-08 03:26:18,58.8053,-122.7002,24.39,93,90,0.0,light shower snow
113,Riyadh,SA,2021-11-08 03:25:25,24.6877,46.7219,60.94,27,53,7.58,broken clouds
114,Constitucion,CL,2021-11-08 03:24:12,-35.3333,-72.4167,54.48,82,4,13.62,clear sky
115,Gravdal,NO,2021-11-08 03:26:19,68.1214,13.5031,38.8,59,75,11.36,broken clouds
116,Hasaki,JP,2021-11-08 03:26:19,35.7333,140.8333,72.0,52,49,15.5,scattered clouds
117,Gamboula,CF,2021-11-08 03:26:19,4.1178,15.1393,68.61,97,100,0.18,overcast clouds
118,Contamana,PE,2021-11-08 03:23:09,-7.3333,-75.0167,76.17,74,34,2.71,scattered clouds
