City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Puerto El Triunfo,SV,83.32,broken clouds,13.2833,-88.55,Hotel Jardin
455,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
456,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
457,Zinder,NE,79.25,clear sky,13.8072,8.9881,Hotel de Ville
458,Iralaya,HN,77.23,overcast clouds,15.0,-83.2333,Iglesia morava renovada
459,Daru,PG,85.24,broken clouds,-9.0763,143.2092,Daru Lodge
460,Port Moresby,PG,85.82,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
462,Samarai,PG,85.15,clear sky,-10.6167,150.6667,Nuli Sapi
467,Dingle,PH,86.22,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
477,Kapoeta,SS,79.92,light rain,4.7717,33.5903,Eastgate Hotel
478,Basco,PH,81.45,clear sky,20.4487,121.9702,Nathaniel's Lodge
484,Potiskum,NG,76.96,broken clouds,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
495,Harper,LR,78.53,overcast clouds,4.375,-7.7169,Screensaver
497,Byron Bay,AU,82.06,light rain,-28.65,153.6167,Backpackers Inn on the Beach
499,Ogaminana,NG,75.65,overcast clouds,7.5946,6.2248,Billy Guest Inn
505,Sawtell,AU,79.18,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
510,The Valley,AI,76.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
519,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
522,Phan Thiet,VN,85.55,scattered clouds,10.9333,108.1,Hotel Saigon-PT
528,Nelson Bay,AU,79.75,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
532,Road Town,VG,79.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
536,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
539,Lorengau,PG,83.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
541,Tual,ID,84.79,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
542,Biltine,TD,76.08,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
545,Buchanan,LR,77.54,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
549,Kirakira,SB,86.0,clear sky,-10.4544,161.9205,SanBiz Lodge
558,Dawei,MM,87.57,overcast clouds,14.0833,98.2,Hotel Dawei
561,Koumac,NC,76.73,overcast clouds,-20.5667,164.2833,Le Monitel
568,Batemans Bay,AU,81.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
569,Amli,IN,78.26,overcast clouds,20.2833,73.0167,Hotel Soubhagya Inn
575,Port-Gentil,GA,78.67,light rain,-0.7193,8.7815,Fengshui Residence
584,Eravur,LK,79.14,moderate rain,7.7733,81.6095,Farhan KING House
599,Santa Marta,CO,80.65,few clouds,11.2408,-74.199,Casa de Isabella
600,Emerald,AU,83.34,thunderstorm,-23.5333,148.1667,The Irish Village
601,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
604,Chai Badan,TH,82.76,scattered clouds,15.2,101.1333,Narai Grand Hotel
608,Kinshasa,CD,77.32,light rain,-4.3246,15.3215,Flat Hotel Alhdeef
613,Paka,MY,87.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
619,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
623,Barceloneta,PR,80.58,few clouds,18.4505,-66.5385,Manati World Point Inn
628,Itaueira,BR,75.16,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
630,Campoverde,PE,80.29,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
633,Keti Bandar,PK,78.66,clear sky,24.1447,67.4497,Haji laloo memon house
634,Gigmoto,PH,82.87,overcast clouds,13.7796,124.39,Cj's Travellers Inn
647,Krabi,TH,86.99,broken clouds,8.0726,98.9105,Tharapark View Hotel
662,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
669,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
673,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
674,Bitung,ID,85.62,overcast clouds,1.4451,125.1824,K2 Lembeh
677,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
683,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
684,Labuhan,ID,87.91,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
689,Ialibu,PG,75.83,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
690,Oriximina,BR,76.35,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
691,Sibolga,ID,77.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
693,Bac Lieu,VN,84.6,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
695,Salinopolis,BR,78.06,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
699,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
701,Ternate,ID,87.55,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
703,Panalingaan,PH,87.01,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
713,Palauig,PH,87.44,few clouds,15.435,119.9045,Alperi Botique Resort
719,Angoche,MZ,75.43,clear sky,-16.2325,39.9086,Guest House HESADA
